Status,table_name,column_name,description,Note
,outpatient_base_claims,PTNT_DSCHRG_STUS_CD,Patient Discharge Status Code,
,outpatient_base_claims,CLM_TOT_CHRG_AMT,Claim Total Charge Amount,
,outpatient_base_claims,NCH_BENE_BLOOD_DDCTBL_LBLTY_AM,NCH Beneficiary Blood Deductible Liability Amount,
,outpatient_base_claims,NCH_PROFNL_CMPNT_CHRG_AMT,NCH Professional Component Charge,
,outpatient_base_claims,PRNCPAL_DGNS_CD,Primary Claim Diagnosis Code,
,outpatient_base_claims,PRNCPAL_DGNS_VRSN_CD,Primary Claim Diagnosis Code Diagnosis Version Code (ICD-9 or ICD-10),
,outpatient_base_claims,ICD_DGNS_CD1,Claim Diagnosis Code I,
,outpatient_base_claims,ICD_DGNS_VRSN_CD1,Claim Diagnosis Code I Diagnosis Version Code (ICD-9 or ICD-10),
,outpatient_base_claims,ICD_DGNS_CD2,Claim Diagnosis Code II,
,outpatient_base_claims,ICD_DGNS_VRSN_CD2,Claim Diagnosis Code II Diagnosis Version Code (ICD-9 or ICD-10),
,outpatient_base_claims,ICD_DGNS_CD3,Claim Diagnosis Code III,
,outpatient_base_claims,ICD_DGNS_VRSN_CD3,Claim Diagnosis Code III Diagnosis Version Code (ICD-9 or ICD-10),
,outpatient_base_claims,ICD_DGNS_CD4,Claim Diagnosis Code IV,
,outpatient_base_claims,ICD_DGNS_VRSN_CD4,Claim Diagnosis Code IV Diagnosis Version Code (ICD-9 or ICD-10),
,outpatient_base_claims,ICD_DGNS_CD5,Claim Diagnosis Code V,
,outpatient_base_claims,ICD_DGNS_VRSN_CD5,Claim Diagnosis Code V Diagnosis Version Code (ICD-9 or ICD-10),
,outpatient_base_claims,ICD_DGNS_CD6,Claim Diagnosis Code VI,
,outpatient_base_claims,ICD_DGNS_VRSN_CD6,Claim Diagnosis Code VI Diagnosis Version Code (ICD-9 or ICD-10),
,outpatient_base_claims,ICD_DGNS_CD7,Claim Diagnosis Code VII,
,outpatient_base_claims,ICD_DGNS_VRSN_CD7,Claim Diagnosis Code VII Diagnosis Version Code (ICD-9 or ICD-10),
,outpatient_base_claims,ICD_DGNS_CD8,Claim Diagnosis Code VIII,
,outpatient_base_claims,ICD_DGNS_VRSN_CD8,Claim Diagnosis Code VIII Diagnosis Version Code (ICD-9 or ICD-10),
,outpatient_base_claims,ICD_DGNS_CD9,Claim Diagnosis Code IX,
,outpatient_base_claims,ICD_DGNS_VRSN_CD9,Claim Diagnosis Code IX Diagnosis Version Code (ICD-9 or ICD-10),
,outpatient_base_claims,ICD_DGNS_CD10,Claim Diagnosis Code X,
,outpatient_base_claims,ICD_DGNS_VRSN_CD10,Claim Diagnosis Code X Diagnosis Version Code (ICD-9 or ICD-10),
,outpatient_base_claims,ICD_DGNS_CD11,Claim Diagnosis Code XI,
,outpatient_base_claims,ICD_DGNS_VRSN_CD11,Claim Diagnosis Code XI Diagnosis Version Code (ICD-9 or ICD-10),
,outpatient_base_claims,ICD_DGNS_CD12,Claim Diagnosis Code XII,
,outpatient_base_claims,ICD_DGNS_VRSN_CD12,Claim Diagnosis Code XII Diagnosis Version Code (ICD-9 or ICD-10),
,outpatient_base_claims,ICD_DGNS_CD13,Claim Diagnosis Code XIII,
,outpatient_base_claims,ICD_DGNS_VRSN_CD13,Claim Diagnosis Code XIII Diagnosis Version Code (ICD-9 or ICD-10),
,outpatient_base_claims,ICD_DGNS_CD14,Claim Diagnosis Code XIV,
,outpatient_base_claims,ICD_DGNS_VRSN_CD14,Claim Diagnosis Code XIV Diagnosis Version Code (ICD-9 or ICD-10),
,outpatient_base_claims,ICD_DGNS_CD15,Claim Diagnosis Code XV,
,outpatient_base_claims,ICD_DGNS_VRSN_CD15,Claim Diagnosis Code XV Diagnosis Version Code (ICD-9 or ICD-10),
,outpatient_base_claims,ICD_DGNS_CD16,Claim Diagnosis Code XVI,
,outpatient_base_claims,ICD_DGNS_VRSN_CD16,Claim Diagnosis Code XVI Diagnosis Version Code (ICD-9 or ICD-10),
,outpatient_base_claims,ICD_DGNS_CD17,Claim Diagnosis Code XVII,
,outpatient_base_claims,ICD_DGNS_VRSN_CD17,Claim Diagnosis Code XVII Diagnosis Version Code (ICD-9 or ICD-10),
,outpatient_base_claims,ICD_DGNS_CD18,Claim Diagnosis Code XVIII,
,outpatient_base_claims,ICD_DGNS_VRSN_CD18,Claim Diagnosis Code XVIII Diagnosis Version Code (ICD-9 or ICD-10),
,outpatient_base_claims,ICD_DGNS_CD19,Claim Diagnosis Code XIX,
,outpatient_base_claims,ICD_DGNS_VRSN_CD19,Claim Diagnosis Code XIX Diagnosis Version Code (ICD-9 or ICD-10),
,outpatient_base_claims,ICD_DGNS_CD20,Claim Diagnosis Code XX,
,outpatient_base_claims,ICD_DGNS_VRSN_CD20,Claim Diagnosis Code XX Diagnosis Version Code (ICD-9 or ICD-10),
,outpatient_base_claims,ICD_DGNS_CD21,Claim Diagnosis Code XXI,
,outpatient_base_claims,ICD_DGNS_VRSN_CD21,Claim Diagnosis Code XXI Diagnosis Version Code (ICD-9 or ICD-10),
,outpatient_base_claims,ICD_DGNS_CD22,Claim Diagnosis Code XXII,
,outpatient_base_claims,ICD_DGNS_VRSN_CD22,Claim Diagnosis Code XXII Diagnosis Version Code (ICD-9 or ICD-10),
,outpatient_base_claims,ICD_DGNS_CD23,Claim Diagnosis Code XXIII,
,outpatient_base_claims,ICD_DGNS_VRSN_CD23,Claim Diagnosis Code XXIII Diagnosis Version Code (ICD-9 or ICD-10),
,outpatient_base_claims,ICD_DGNS_CD24,Claim Diagnosis Code XXIV,
,outpatient_base_claims,ICD_DGNS_VRSN_CD24,Claim Diagnosis Code XXIV Diagnosis Version Code (ICD-9 or ICD-10),
,outpatient_base_claims,ICD_DGNS_CD25,Claim Diagnosis Code XXV,
,outpatient_base_claims,ICD_DGNS_VRSN_CD25,Claim Diagnosis Code XXV Diagnosis Version Code (ICD-9 or ICD-10),
,outpatient_base_claims,FST_DGNS_E_CD,First Claim Diagnosis E Code,
,outpatient_base_claims,FST_DGNS_E_VRSN_CD,First Claim Diagnosis E Code Diagnosis Version Code (ICD-9 or ICD-10),
,outpatient_base_claims,ICD_DGNS_E_CD1,Claim Diagnosis E Code I,
,outpatient_base_claims,ICD_DGNS_E_VRSN_CD1,Claim Diagnosis E Code I Diagnosis Version Code (ICD-9 or ICD-10),
,outpatient_base_claims,ICD_DGNS_E_CD2,Claim Diagnosis E Code II,
,outpatient_base_claims,ICD_DGNS_E_VRSN_CD2,Claim Diagnosis E Code II Diagnosis Version Code (ICD-9 or ICD-10),
,outpatient_base_claims,ICD_DGNS_E_CD3,Claim Diagnosis E Code III,
,outpatient_base_claims,ICD_DGNS_E_VRSN_CD3,Claim Diagnosis E Code III Diagnosis Version Code (ICD-9 or ICD-10),
,outpatient_base_claims,ICD_DGNS_E_CD4,Claim Diagnosis E Code IV,
,outpatient_base_claims,ICD_DGNS_E_VRSN_CD4,Claim Diagnosis E Code IV Diagnosis Version Code (ICD-9 or ICD-10),
,outpatient_base_claims,ICD_DGNS_E_CD5,Claim Diagnosis E Code V,
,outpatient_base_claims,ICD_DGNS_E_VRSN_CD5,Claim Diagnosis E Code V Diagnosis Version Code (ICD-9 or ICD-10),
,outpatient_base_claims,ICD_DGNS_E_CD6,Claim Diagnosis E Code VI,
,outpatient_base_claims,ICD_DGNS_E_VRSN_CD6,Claim Diagnosis E Code VI Diagnosis Version Code (ICD-9 or ICD-10),
,outpatient_base_claims,ICD_DGNS_E_CD7,Claim Diagnosis E Code VII,
,outpatient_base_claims,ICD_DGNS_E_VRSN_CD7,Claim Diagnosis E Code VII Diagnosis Version Code (ICD-9 or ICD-10),
,outpatient_base_claims,ICD_DGNS_E_CD8,Claim Diagnosis E Code VIII,
,outpatient_base_claims,ICD_DGNS_E_VRSN_CD8,Claim Diagnosis E Code VIII Diagnosis Version Code (ICD-9 or ICD-10),
,outpatient_base_claims,ICD_DGNS_E_CD9,Claim Diagnosis E Code IX,
,outpatient_base_claims,ICD_DGNS_E_VRSN_CD9,Claim Diagnosis E Code IX Diagnosis Version Code (ICD-9 or ICD-10),
,outpatient_base_claims,ICD_DGNS_E_CD10,Claim Diagnosis E Code X,
,outpatient_base_claims,ICD_DGNS_E_VRSN_CD10,Claim Diagnosis E Code X Diagnosis Version Code (ICD-9 or ICD-10),
,outpatient_base_claims,ICD_DGNS_E_CD11,Claim Diagnosis E Code XI,
,outpatient_base_claims,ICD_DGNS_E_VRSN_CD11,Claim Diagnosis E Code XI Diagnosis Version Code (ICD-9 or ICD-10),
,outpatient_base_claims,ICD_DGNS_E_CD12,Claim Diagnosis E Code XII,
,outpatient_base_claims,ICD_DGNS_E_VRSN_CD12,Claim Diagnosis E Code XII Diagnosis Version Code (ICD-9 or ICD-10),
,outpatient_base_claims,ICD_PRCDR_CD1,Claim Procedure Code I,
,outpatient_base_claims,ICD_PRCDR_VRSN_CD1,Claim Procedure Code I Claim Procedure Version Code (ICD-9 or ICD-10),
,outpatient_base_claims,PRCDR_DT1,Claim Procedure Code I Date,
,outpatient_base_claims,ICD_PRCDR_CD2,Claim Procedure Code II,
,outpatient_base_claims,ICD_PRCDR_VRSN_CD2,Claim Procedure Code II Claim Procedure Version Code (ICD-9 or ICD-10),
,outpatient_base_claims,PRCDR_DT2,Claim Procedure Code II Date,
,outpatient_base_claims,ICD_PRCDR_CD3,Claim Procedure Code III,
,outpatient_base_claims,ICD_PRCDR_VRSN_CD3,Claim Procedure Code III Claim Procedure Version Code (ICD-9 or ICD-10),
,outpatient_base_claims,PRCDR_DT3,Claim Procedure Code III Date,
,outpatient_base_claims,ICD_PRCDR_CD4,Claim Procedure Code IV,
,outpatient_base_claims,ICD_PRCDR_VRSN_CD4,Claim Procedure Code IV Claim Procedure Version Code (ICD-9 or ICD-10),
,outpatient_base_claims,PRCDR_DT4,Claim Procedure Code IV Date,
,outpatient_base_claims,ICD_PRCDR_CD5,Claim Procedure Code V,
,outpatient_base_claims,ICD_PRCDR_VRSN_CD5,Claim Procedure Code V Claim Procedure Version Code (ICD-9 or ICD-10),
,outpatient_base_claims,PRCDR_DT5,Claim Procedure Code V Date,
,outpatient_base_claims,ICD_PRCDR_CD6,Claim Procedure Code VI,
,outpatient_base_claims,ICD_PRCDR_VRSN_CD6,Claim Procedure Code VI Claim Procedure Version Code (ICD-9 or ICD-10),
,outpatient_base_claims,PRCDR_DT6,Claim Procedure Code VI Date,
,outpatient_base_claims,ICD_PRCDR_CD7,Claim Procedure Code VII,
,outpatient_base_claims,ICD_PRCDR_VRSN_CD7,Claim Procedure Code VII Claim Procedure Version Code (ICD-9 or ICD-10),
,outpatient_base_claims,PRCDR_DT7,Claim Procedure Code VII Date,
,outpatient_base_claims,ICD_PRCDR_CD8,Claim Procedure Code VIII,
,outpatient_base_claims,ICD_PRCDR_VRSN_CD8,Claim Procedure Code VIII Claim Procedure Version Code (ICD-9 or ICD-10),
,outpatient_base_claims,PRCDR_DT8,Claim Procedure Code VIII Date,
,outpatient_base_claims,ICD_PRCDR_CD9,Claim Procedure Code IX,
,outpatient_base_claims,ICD_PRCDR_VRSN_CD9,Claim Procedure Code IX Claim Procedure Version Code (ICD-9 or ICD-10),
,outpatient_base_claims,PRCDR_DT9,Claim Procedure Code IX Date,
,outpatient_base_claims,ICD_PRCDR_CD10,Claim Procedure Code X,
,outpatient_base_claims,ICD_PRCDR_VRSN_CD10,Claim Procedure Code X Claim Procedure Version Code (ICD-9 or ICD-10),
,outpatient_base_claims,PRCDR_DT10,Claim Procedure Code X Date,
,outpatient_base_claims,ICD_PRCDR_CD11,Claim Procedure Code XI,
,outpatient_base_claims,ICD_PRCDR_VRSN_CD11,Claim Procedure Code XI Claim Procedure Version Code (ICD-9 or ICD-10),
,outpatient_base_claims,PRCDR_DT11,Claim Procedure Code XI Date,
,outpatient_base_claims,ICD_PRCDR_CD12,Claim Procedure Code XII,
,outpatient_base_claims,ICD_PRCDR_VRSN_CD12,Claim Procedure Code XII Claim Procedure Version Code (ICD-9 or ICD-10),
,outpatient_base_claims,PRCDR_DT12,Claim Procedure Code XII Date,
,outpatient_base_claims,ICD_PRCDR_CD13,Claim Procedure Code XIII,
,outpatient_base_claims,ICD_PRCDR_VRSN_CD13,Claim Procedure Code XIII Claim Procedure Version Code (ICD-9 or ICD-10),
,outpatient_base_claims,PRCDR_DT13,Claim Procedure Code XIII Date,
,outpatient_base_claims,ICD_PRCDR_CD14,Claim Procedure Code XIV,
,outpatient_base_claims,ICD_PRCDR_VRSN_CD14,Claim Procedure Code XIV Claim Procedure Version Code (ICD-9 or ICD-10),
,outpatient_base_claims,PRCDR_DT14,Claim Procedure Code XIV Date,
,outpatient_base_claims,ICD_PRCDR_CD15,Claim Procedure Code XV,
,outpatient_base_claims,ICD_PRCDR_VRSN_CD15,Claim Procedure Code XV Claim Procedure Version Code (ICD-9 or ICD-10),
,outpatient_base_claims,PRCDR_DT15,Claim Procedure Code XV Date,
,outpatient_base_claims,ICD_PRCDR_CD16,Claim Procedure Code XVI,
,outpatient_base_claims,ICD_PRCDR_VRSN_CD16,Claim Procedure Code XVI Claim Procedure Version Code (ICD-9 or ICD-10),
,outpatient_base_claims,PRCDR_DT16,Claim Procedure Code XVI Date,
,outpatient_base_claims,ICD_PRCDR_CD17,Claim Procedure Code XVII,
,outpatient_base_claims,ICD_PRCDR_VRSN_CD17,Claim Procedure Code XVII Claim Procedure Version Code (ICD-9 or ICD-10),
,outpatient_base_claims,PRCDR_DT17,Claim Procedure Code XVII Date,
,outpatient_base_claims,ICD_PRCDR_CD18,Claim Procedure Code XVIII,
,outpatient_base_claims,ICD_PRCDR_VRSN_CD18,Claim Procedure Code XVIII Claim Procedure Version Code (ICD-9 or ICD-10),
,outpatient_base_claims,PRCDR_DT18,Claim Procedure Code XVIII Date,
,outpatient_base_claims,ICD_PRCDR_CD19,Claim Procedure Code XIX,
,outpatient_base_claims,ICD_PRCDR_VRSN_CD19,Claim Procedure Code XIX Claim Procedure Version Code (ICD-9 or ICD-10),
,outpatient_base_claims,PRCDR_DT19,Claim Procedure Code XIX Date,
,outpatient_base_claims,ICD_PRCDR_CD20,Claim Procedure Code XX,
,outpatient_base_claims,ICD_PRCDR_VRSN_CD20,Claim Procedure Code XX Claim Procedure Version Code (ICD-9 or ICD-10),
,outpatient_base_claims,PRCDR_DT20,Claim Procedure Code XX Date,
,outpatient_base_claims,ICD_PRCDR_CD21,Claim Procedure Code XXI,
,outpatient_base_claims,ICD_PRCDR_VRSN_CD21,Claim Procedure Code XXI Claim Procedure Version Code (ICD-9 or ICD-10),
,outpatient_base_claims,PRCDR_DT21,Claim Procedure Code XXI Date,
,outpatient_base_claims,ICD_PRCDR_CD22,Claim Procedure Code XXII,
,outpatient_base_claims,ICD_PRCDR_VRSN_CD22,Claim Procedure Code XXII Claim Procedure Version Code (ICD-9 or ICD-10),
,outpatient_base_claims,PRCDR_DT22,Claim Procedure Code XXII Date,
,outpatient_base_claims,ICD_PRCDR_CD23,Claim Procedure Code XXIII,
,outpatient_base_claims,ICD_PRCDR_VRSN_CD23,Claim Procedure Code XXIII Claim Procedure Version Code (ICD-9 or ICD-10),
,outpatient_base_claims,PRCDR_DT23,Claim Procedure Code XXIII Date,
,outpatient_base_claims,ICD_PRCDR_CD24,Claim Procedure Code XXIV,
,outpatient_base_claims,ICD_PRCDR_VRSN_CD24,Claim Procedure Code XXIV Claim Procedure Version Code (ICD-9 or ICD-10),
,outpatient_base_claims,PRCDR_DT24,Claim Procedure Code XXIV Date,
,outpatient_base_claims,ICD_PRCDR_CD25,Claim Procedure Code XXV,
,outpatient_base_claims,ICD_PRCDR_VRSN_CD25,Claim Procedure Code XXV Claim Procedure Version Code (ICD-9 or ICD-10),
,outpatient_base_claims,PRCDR_DT25,Claim Procedure Code XXV Date,
,outpatient_base_claims,RSN_VISIT_CD1,Reason for Visit Diagnosis Code I,
,outpatient_base_claims,RSN_VISIT_VRSN_CD1,Reason for Visit Diagnosis Code I Diagnosis Version Code (ICD-9 or ICD-10),
,outpatient_base_claims,RSN_VISIT_CD2,Reason for Visit Diagnosis Code II,
,outpatient_base_claims,RSN_VISIT_VRSN_CD2,Reason for Visit Diagnosis Code II Diagnosis Version Code (ICD-9 or ICD-10),
,outpatient_base_claims,RSN_VISIT_CD3,Reason for Visit Diagnosis Code III,
,outpatient_base_claims,RSN_VISIT_VRSN_CD3,Reason for Visit Diagnosis Code III Diagnosis Version Code (ICD-9 or ICD-10),
,outpatient_base_claims,NCH_BENE_PTB_DDCTBL_AMT,NCH Beneficiary Part B Deductible Amount,
,outpatient_base_claims,NCH_BENE_PTB_COINSRNC_AMT,NCH Beneficiary Part B Coinsurance Amount,
,outpatient_base_claims,CLM_OP_PRVDR_PMT_AMT,Claim Outpatient Provider Payment Amount,
,outpatient_base_claims,CLM_OP_BENE_PMT_AMT,Claim Outpatient Beneficiary Payment Amount,
,outpatient_base_claims,DOB_DT,Date of Birth from Claim (Date),
,outpatient_base_claims,GNDR_CD,Gender Code from Claim,
,outpatient_base_claims,BENE_RACE_CD,Race Code from Claim,
,outpatient_base_claims,BENE_CNTY_CD,County Code from Claim (SSA),
,outpatient_base_claims,BENE_STATE_CD,State Code from Claim (SSA),
,outpatient_base_claims,BENE_MLG_CNTCT_ZIP_CD,Zip Code of Residence from Claim,
,outpatient_base_claims,CLM_MDCL_REC,Claim Medical Record Number,
,outpatient_occurrnce_codes,BENE_ID,Encrypted 723 Beneficiary ID,
,outpatient_occurrnce_codes,CLM_ID,Encrypted Claim ID,
,outpatient_occurrnce_codes,NCH_CLM_TYPE_CD,NCH Claim Type Code,
